time, interval
0:2:12.52000045776367187500 ,48
0:2:13.33500003814697265625 ,49
0:2:14.15999984741210937500 ,49
0:2:14.98499965667724609375 ,49
0:2:15.81999969482421875000 ,48
0:2:16.63500022888183593750 ,47
0:2:17.44499969482421875000 ,47
0:2:18.25000000000000000000 ,47
0:2:19.04500007629394531250 ,47
0:2:19.84499931335449218750 ,47
0:2:20.62999916076660156250 ,47
0:2:21.42499923706054687500 ,49
0:2:22.24500083923339843750 ,49
0:2:23.07500076293945312500 ,49
0:2:23.90999984741210937500 ,48
0:2:24.72999000549316406250 ,48
0:2:25.54000091552734375000 ,48
0:2:26.34000015258789062500 ,48
0:2:27.13999938964843750000 ,48
0:2:27.95999908447265625000 ,45
0:2:28.77499961853027343750 ,45
0:2:29.54999923706054687500 ,44
0:2:30.29500007629394531250 ,42
0:2:31.05500030517578125000 ,42
0:2:31.80500030517578125000 ,42
0:2:32.55500030517578125000 ,42
0:2:33.29999923706054687500 ,42
0:2:34.00999832153320312500 ,42
0:2:34.71500015258789062500 ,47
0:2:35.45999908447265625000 ,47
0:2:36.27000045776367187500 ,47
0:2:37.06499862670898437500 ,47
0:2:37.86000061035156250000 ,48
0:2:38.65999984741210937500 ,48
0:2:39.47499847412109375000 ,48
0:2:40.30500030517578125000 ,48
0:2:41.13000106811523437500 ,48
0:2:41.93999862670898437500 ,48
0:2:42.75999832153320312500 ,48
0:2:43.56999969482421875000 ,48
0:2:44.38000106811523437500 ,48
0:2:45.18000030517578125000 ,48
0:2:45.97000122070312500000 ,48
0:2:46.77000045776367187500 ,48
0:2:47.56999969482421875000 ,48
0:2:48.36999893188476562500 ,48
0:2:49.17499923706054687500 ,46
0:2:49.98500061035156250000 ,46
0:2:50.79499816894531250000 ,44
0:2:51.59500122070312500000 ,44
0:2:52.36500167846679687500 ,43
0:2:53.14500045776367187500 ,43
0:2:53.88000106811523437500 ,43
0:2:54.62500000000000000000 ,43
0:2:55.34500122070312500000 ,43
0:2:56.07500076293945312500 ,48
0:2:56.81999969482421875000 ,48
0:2:57.61000061035156250000 ,47
0:2:58.40499877929687500000 ,48
0:2:59.20500183105468750000 ,48
0:3:0.03500000014901161194 ,45
0:3:0.81499999761581420898 ,43
0:3:1.57500004768371582031 ,42
0:3:2.29999995231628417969 ,42
0:3:3.00500011444091796875 ,42
0:3:3.71499991416931152344 ,42
0:3:4.42500019073486328125 ,42
0:3:5.12500000000000000000 ,42
0:3:5.84499979019165039062 ,42
0:3:6.55000019073486328125 ,42
0:3:7.26499986648559570312 ,45
0:3:7.99499988555908203125 ,45
0:3:8.73999977111816406250 ,45
0:3:9.48999977111816406250 ,45
0:3:10.25000000000000000000 ,45
0:3:11.01000022888183593750 ,46
0:3:11.78499984741210937500 ,44
0:3:12.56999969482421875000 ,44
0:3:13.35999965667724609375 ,42
0:3:14.13500022888183593750 ,42
0:3:14.88000011444091796875 ,42
0:3:15.59500026702880859375 ,42
0:3:16.29999923706054687500 ,42
0:3:16.99500083923339843750 ,44
0:3:17.70499992370605468750 ,42
0:3:18.41500091552734375000 ,45
0:3:19.13999938964843750000 ,46
0:3:19.88999938964843750000 ,45
0:3:20.62999916076660156250 ,45
0:3:21.39500045776367187500 ,44
0:3:22.16500091552734375000 ,44
0:3:22.93499946594238281250 ,44
0:3:23.68499946594238281250 ,44
0:3:24.43000030517578125000 ,44
0:3:25.17499923706054687500 ,44
0:3:25.92000007629394531250 ,44
0:3:26.66500091552734375000 ,44
0:3:27.41500091552734375000 ,43
0:3:28.15999984741210937500 ,43
0:3:28.89999961853027343750 ,43
0:3:29.63500022888183593750 ,43
0:3:30.36499977111816406250 ,43
0:3:31.09499931335449218750 ,45
0:3:31.83499908447265625000 ,45
0:3:32.59500122070312500000 ,45
0:3:33.36000061035156250000 ,45
0:3:34.13499832153320312500 ,42
0:3:34.88999938964843750000 ,42
0:3:35.61500167846679687500 ,42
0:3:36.33000183105468750000 ,42
0:3:37.04499816894531250000 ,42
0:3:37.75500106811523437500 ,48
0:3:38.50500106811523437500 ,46
0:3:39.31000137329101562500 ,46
0:3:40.12500000000000000000 ,45
0:3:40.93999862670898437500 ,45
0:3:41.75000000000000000000 ,45
0:3:42.52000045776367187500 ,45
